address,b_mianji,chaoxiang,dianti,display_total_price,gongnuan,huxing,huxing_jiegou,jianzhu_jiegou,jianzhu_leixing,louceng,niandai,sold_date,sold_total_price,t_mianji,traffic,unit_price,zhuangxiu
吴家村路10号院,77㎡          ,南 北   ,无           ,455挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,跃层              ,混合结构  ,板楼       ,顶层(共6层)          ,1996 ,2019.01.03 成交,433万,暂无数据         ,暂无数据,56234元/平,精装     
西罗园二区,88.6㎡          ,南 北   ,有           ,485挂牌价格（万）,集中供暖        ,3室1厅1厨1卫        ,平层              ,钢混结构  ,塔楼       ,中楼层(共24层)          ,1994 ,2019.01.03 成交,485万,70㎡         ,,54741元/平,简装     
后南仓,56.38㎡          ,南 北   ,无           ,264挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,顶层(共6层)          ,1981 ,2019.01.03 成交,261万,暂无数据         ,暂无数据,46294元/平,简装     
北蜂窝30号院,45.1㎡          ,东   ,无           ,358挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,顶层(共4层)          ,1981 ,2019.01.05 成交,340万,34.6㎡         ,近地铁,75389元/平,简装     
枣园小区,81.92㎡          ,南 北   ,无           ,348挂牌价格（万）,集中供暖        ,3室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共6层)          ,1995 ,2019.01.05 成交,309万,暂无数据         ,近地铁,37720元/平,其他     
金隅丽景园,56.08㎡          ,南   ,有           ,247挂牌价格（万）,集中供暖        ,1室1厅1厨1卫        ,平层              ,钢混结构  ,板塔结合       ,中楼层(共22层)          ,2010 ,2019.01.05 成交,242万,42.93㎡         ,近地铁,43153元/平,精装     
乔建里,45.5㎡          ,东   ,无           ,350挂牌价格（万）,集中供暖        ,1室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,底层(共6层)          ,1989 ,2019.01.05 成交,310万,30.6㎡         ,近地铁,68132元/平,简装     
剧场东街,53.46㎡          ,东 西   ,无           ,200挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共5层)          ,1979 ,2019.01.06 成交,176万,37.93㎡         ,暂无数据,32922元/平,其他     
冠城大通百旺府,123.19㎡          ,南 北   ,有           ,820挂牌价格（万）,自供暖        ,2室2厅1厨2卫        ,平层              ,钢混结构  ,板楼       ,顶层(共6层)          ,2009 ,2019.01.06 成交,790万,106.09㎡         ,暂无数据,64129元/平,毛坯     
模式口北里,57.88㎡          ,东   ,无           ,242挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共6层)          ,1996 ,2019.01.06 成交,235万,暂无数据         ,暂无数据,40602元/平,其他     
